Product_Name,Product_ID,Category,Cost_Price,Selling_Price,Units_Sold,Revenue,Profit_Loss_Amount,Profit_Loss_Status
Smartphone X1,P001,Sports,141,225,4,900,336,Profit
Laptop Pro 15,P002,Books,416,524,1,524,108,Profit
Bluetooth Speaker,P003,Home & Kitchen,493,583,6,3498,540,Profit
LED TV 42inch,P004,Books,477,505,5,2525,140,Profit
Wireless Earbuds,P005,Books,313,420,4,1680,428,Profit
Men's Cotton Shirt,P006,Clothing,480,628,2,1256,296,Profit
Women's Denim Jacket,P007,Home & Kitchen,84,239,1,239,155,Profit
Running Shoes,P008,Home & Kitchen,255,337,4,1348,328,Profit
Sports Watch,P009,Home & Kitchen,130,288,4,1152,632,Profit
Backpack Travel,P010,Books,469,569,1,569,100,Profit
Ceramic Dinner Set,P011,Sports,99,254,2,508,310,Profit
Non-stick Frying Pan,P012,Home & Kitchen,409,591,3,1773,546,Profit
Vacuum Cleaner,P013,Books,437,619,5,3095,910,Profit
Air Purifier,P014,Clothing,51,103,5,515,260,Profit
Table Lamp,P015,Sports,439,581,3,1743,426,Profit
Yoga Mat,P016,Clothing,103,127,2,254,48,Profit
Tennis Racket,P017,Sports,155,215,3,645,180,Profit
Football Size 5,P018,Books,309,356,3,1068,141,Profit
Mountain Bicycle,P019,Electronics,359,513,1,513,154,Profit
Camping Tent,P020,Sports,240,331,6,1986,546,Profit
Fiction Novel A,P021,Clothing,451,482,1,482,31,Profit
Fiction Novel B,P022,Books,267,448,5,2240,905,Profit
Cookbook Deluxe,P023,Sports,93,145,4,580,208,Profit
Self-help Guide,P024,Electronics,211,278,3,834,201,Profit
Children's Story Book,P025,Electronics,251,421,2,842,340,Profit
Smartwatch Series 5,P026,Home & Kitchen,495,576,3,1728,243,Profit
Gaming Console Z,P027,Home & Kitchen,319,375,2,750,112,Profit
Wireless Mouse,P028,Clothing,400,518,6,3108,708,Profit
Mechanical Keyboard,P029,Sports,353,544,2,1088,382,Profit
External Hard Drive,P030,Sports,320,443,6,2658,738,Profit
