Product_ID,Product_Name_x,Category_x,Units_Sold,Revenue,Selling_Price_x,Cost_Price_x,Order_Date,Customer_Region,Product_Name_y,Category_y,Cost_Price_y,Selling_Price_y
P001,Product_1,Sports,4,900,225,141,2024-01-01,North,Smartphone X1,Sports,141,225
P002,Product_2,Books,1,524,524,416,2024-01-01,North,Laptop Pro 15,Books,416,524
P003,Product_3,Home & Kitchen,6,3498,583,493,2024-01-01,East,Bluetooth Speaker,Home & Kitchen,493,583
P004,Product_4,Books,5,2525,505,477,2024-01-01,South,LED TV 42inch,Books,477,505
P005,Product_5,Books,4,1680,420,313,2024-01-01,South,Wireless Earbuds,Books,313,420
P006,Product_6,Clothing,2,1256,628,480,2024-01-01,South,Men's Cotton Shirt,Clothing,480,628
P007,Product_7,Home & Kitchen,1,239,239,84,2024-01-01,North,Women's Denim Jacket,Home & Kitchen,84,239
P008,Product_8,Home & Kitchen,4,1348,337,255,2024-01-01,North,Running Shoes,Home & Kitchen,255,337
P009,Product_9,Home & Kitchen,4,1152,288,130,2024-01-01,West,Sports Watch,Home & Kitchen,130,288
P010,Product_10,Books,1,569,569,469,2024-01-01,North,Backpack Travel,Books,469,569
P011,Product_11,Sports,2,508,254,99,2024-01-01,North,Ceramic Dinner Set,Sports,99,254
P012,Product_12,Home & Kitchen,3,1773,591,409,2024-01-01,North,Non-stick Frying Pan,Home & Kitchen,409,591
P013,Product_13,Books,5,3095,619,437,2024-01-01,South,Vacuum Cleaner,Books,437,619
P014,Product_14,Clothing,5,515,103,51,2024-01-01,South,Air Purifier,Clothing,51,103
P015,Product_15,Sports,3,1743,581,439,2024-01-01,North,Table Lamp,Sports,439,581
P016,Product_16,Clothing,2,254,127,103,2024-01-01,South,Yoga Mat,Clothing,103,127
P017,Product_17,Sports,3,645,215,155,2024-01-01,West,Tennis Racket,Sports,155,215
P018,Product_18,Books,3,1068,356,309,2024-01-01,South,Football Size 5,Books,309,356
P019,Product_19,Electronics,1,513,513,359,2024-01-01,West,Mountain Bicycle,Electronics,359,513
