Product_ID,Product_Name,Category,Units_Sold,Revenue,Selling_Price,Cost_Price,Order_Date,Customer_Region
P001,Product_1,Sports,4,900,225,141,2024-01-01,North
P002,Product_2,Books,1,524,524,416,2024-01-01,North
P003,Product_3,Home & Kitchen,6,3498,583,493,2024-01-01,East
P004,Product_4,Books,5,2525,505,477,2024-01-01,South
P005,Product_5,Books,4,1680,420,313,2024-01-01,South
P006,Product_6,Clothing,2,1256,628,480,2024-01-01,South
P007,Product_7,Home & Kitchen,1,239,239,84,2024-01-01,North
P008,Product_8,Home & Kitchen,4,1348,337,255,2024-01-01,North
P009,Product_9,Home & Kitchen,4,1152,288,130,2024-01-01,West
P010,Product_10,Books,1,569,569,469,2024-01-01,North
P011,Product_11,Sports,2,508,254,99,2024-01-01,North
P012,Product_12,Home & Kitchen,3,1773,591,409,2024-01-01,North
P013,Product_13,Books,5,3095,619,437,2024-01-01,South
P014,Product_14,Clothing,5,515,103,51,2024-01-01,South
P015,Product_15,Sports,3,1743,581,439,2024-01-01,North
P016,Product_16,Clothing,2,254,127,103,2024-01-01,South
P017,Product_17,Sports,3,645,215,155,2024-01-01,West
P018,Product_18,Books,3,1068,356,309,2024-01-01,South
P019,Product_19,Electronics,1,513,513,359,2024-01-01,West
P020,Product_20,Sports,6,1986,331,240,2024-01-01,East
P021,Product_21,Clothing,1,482,482,451,2024-01-01,North
P022,Product_22,Books,5,2240,448,267,2024-01-01,South
P023,Product_23,Sports,4,580,145,93,2024-01-01,West
P024,Product_24,Electronics,3,834,278,211,2024-01-01,East
P025,Product_25,Electronics,2,842,421,251,2024-01-01,East
P026,Product_26,Home & Kitchen,3,1728,576,495,2024-01-01,South
P027,Product_27,Home & Kitchen,2,750,375,319,2024-01-01,South
P028,Product_28,Clothing,6,3108,518,400,2024-01-01,East
P029,Product_29,Sports,2,1088,544,353,2024-01-01,North
P030,Product_30,Sports,6,2658,443,320,2024-01-01,North
P031,Product_31,Home & Kitchen,3,954,318,264,2024-01-01,West
P033,Product_33,Sports,5,2165,433,239,2024-01-01,North
P035,Product_35,Home & Kitchen,6,1692,282,262,2024-01-01,East
P036,Product_36,Books,2,562,281,257,2024-01-01,East
P037,Product_37,Home & Kitchen,4,1788,447,286,2024-01-01,East
P038,Product_38,Books,3,1527,509,387,2024-01-01,North
P039,Product_39,Electronics,5,2310,462,416,2024-01-01,West
P040,Product_40,Clothing,8,2064,258,102,2024-01-01,North
P041,Product_41,Sports,4,1452,363,329,2024-01-01,West
P042,Product_42,Electronics,1,568,568,459,2024-01-01,North
P043,Product_43,Sports,3,981,327,266,2024-01-01,East
P046,Product_46,Electronics,2,1022,511,429,2024-01-01,East
P047,Product_47,Clothing,4,820,205,90,2024-01-01,South
P048,Product_48,Books,1,277,277,206,2024-01-01,North
P049,Product_49,Clothing,5,895,179,64,2024-01-01,North
P050,Product_50,Sports,3,1503,501,350,2024-01-01,South
P002,Product_2,Books,4,2096,524,416,2024-01-02,East
P003,Product_3,Home & Kitchen,1,583,583,493,2024-01-02,North
P004,Product_4,Books,6,3030,505,477,2024-01-02,South
P005,Product_5,Books,3,1260,420,313,2024-01-02,North
P006,Product_6,Clothing,1,628,628,480,2024-01-02,West
P007,Product_7,Home & Kitchen,1,239,239,84,2024-01-02,East
P009,Product_9,Home & Kitchen,3,864,288,130,2024-01-02,West
P010,Product_10,Books,2,1138,569,469,2024-01-02,East
P011,Product_11,Sports,4,1016,254,99,2024-01-02,South
P012,Product_12,Home & Kitchen,5,2955,591,409,2024-01-02,East
P013,Product_13,Books,1,619,619,437,2024-01-02,East
